Frequency (Hz)	Level (dB)
2110.253906	-77.652473
2131.787109	-78.424629
2153.320312	-78.737854
2174.853516	-83.355743
2196.386719	-81.003380
2217.919922	-79.626221
2239.453125	-80.137611
2260.986328	-71.342262
2282.519531	-63.356831
2304.052734	-60.422108
2325.585938	-54.672379
2347.119141	-53.314953
2368.652344	-54.137432
2390.185547	-59.817314
2411.718750	-72.850708
2433.251953	-75.794174
2454.785156	-74.871826
2476.318359	-73.318825
2497.851562	-73.354675
2519.384766	-73.678307
2540.917969	-75.787170
2562.451172	-76.009369
2583.984375	-74.714577
2605.517578	-69.587654
2627.050781	-66.364952
2648.583984	-59.196503
2670.117188	-54.532104
2691.650391	-52.739613
2713.183594	-54.652893
2734.716797	-64.475029
2756.250000	-75.404076
2777.783203	-74.383186
2799.316406	-73.108841
2820.849609	-71.617218
2842.382812	-71.161850
2863.916016	-70.917953
2885.449219	-68.808556
2906.982422	-61.420086
2928.515625	-53.612038
2950.048828	-52.159222
2971.582031	-47.633324
2993.115234	-42.558559
3014.648438	-40.858089
3036.181641	-40.553200
3057.714844	-44.330269
3079.248047	-56.360447
3100.781250	-64.765182
3122.314453	-64.534431
3143.847656	-64.443558
3165.380859	-65.686378
3186.914062	-67.057381
3208.447266	-69.107254
3229.980469	-70.862206
3251.513672	-69.330627
3273.046875	-69.354164
3294.580078	-71.191689
3316.113281	-65.310577
3337.646484	-58.930107
3359.179688	-60.034740
3380.712891	-64.453659
3402.246094	-70.600868
3423.779297	-76.442741
3445.312500	-76.067657
3466.845703	-74.621132
3488.378906	-73.514091
3509.912109	-73.047089
3531.445312	-74.563171
3552.978516	-76.348770
3574.511719	-76.544022
3596.044922	-75.068039
3617.578125	-73.274269
3639.111328	-66.874573
3660.644531	-61.541485
3682.177734	-59.635887
3703.710938	-61.484863
3725.244141	-64.838142
3746.777344	-72.216019
3768.310547	-78.581429
3789.843750	-78.401512
3811.376953	-78.029709
3832.910156	-78.478226
3854.443359	-78.465118
3875.976562	-78.855667
3897.509766	-76.718903
3919.042969	-75.219612
3940.576172	-75.033325
3962.109375	-69.356033
3983.642578	-63.196686
4005.175781	-61.074478
4026.708984	-59.178284
4048.242188	-58.035881
4069.775391	-60.282364
4091.308594	-68.616707
4112.841797	-70.034615
4134.375000	-68.588249
4155.908203	-66.206924
4177.441406	-64.319733
4198.974609	-64.902794
4220.507812	-62.989933
4242.041016	-60.034843
4263.574219	-61.401611
4285.107422	-61.808353
4306.640625	-61.344830
4328.173828	-62.532307
4349.707031	-65.155258
4371.240234	-67.801865
4392.773438	-68.857254
4414.306641	-74.081100
4435.839844	-79.008820
4457.373047	-79.811996
4478.906250	-77.638779
4500.439453	-76.446487
4521.972656	-74.560493
4543.505859	-74.157158
4565.039062	-72.820419
4586.572266	-72.090439
4608.105469	-72.549202
4629.638672	-72.920364
4651.171875	-72.400337
4672.705078	-70.057129
4694.238281	-69.210144
4715.771484	-68.526093
4737.304688	-70.289604
4758.837891	-74.662384
4780.371094	-76.765640
4801.904297	-75.134224
4823.437500	-74.597679
4844.970703	-73.621666
4866.503906	-72.912094
4888.037109	-71.895439
4909.570312	-72.943130
4931.103516	-74.677078
4952.636719	-74.813583
4974.169922	-73.367554
4995.703125	-71.217911
5017.236328	-69.462196
5038.769531	-70.908096
5060.302734	-73.298798
5081.835938	-73.068916
5103.369141	-76.826927
5124.902344	-79.695213
5146.435547	-77.694550
5167.968750	-76.900009
5189.501953	-73.301071
5211.035156	-69.707779
5232.568359	-69.730026
5254.101562	-70.418831
5275.634766	-71.336876
5297.167969	-72.804413
5318.701172	-71.891068
5340.234375	-70.289200
5361.767578	-70.851883
5383.300781	-71.760414
5404.833984	-70.688202
5426.367188	-74.366135
5447.900391	-81.338310
5469.433594	-85.179535
5490.966797	-85.218178
5512.500000	-82.088524
5534.033203	-80.139473
5555.566406	-80.496964
5577.099609	-80.551598
5598.632812	-80.271172
5620.166016	-78.833397
5641.699219	-76.550163
5663.232422	-74.631180
5684.765625	-72.778740
5706.298828	-73.239975
5727.832031	-72.935699
5749.365234	-70.932022
5770.898438	-73.656082
5792.431641	-76.105766
