Frequency (Hz)	Level (dB)
4844.970703	-52.422630
4866.503906	-45.844494
4888.037109	-45.775208
4909.570312	-51.240356
4931.103516	-56.735329
4952.636719	-54.696083
4974.169922	-59.726864
4995.703125	-73.752556
5017.236328	-78.031311
5038.769531	-78.271210
5060.302734	-78.146698
5081.835938	-75.717400
5103.369141	-74.863495
5124.902344	-72.754501
5146.435547	-62.397747
5167.968750	-52.207016
5189.501953	-46.131233
5211.035156	-46.319241
5232.568359	-46.907749
5254.101562	-48.304596
5275.634766	-50.467060
5297.167969	-56.508904
5318.701172	-69.473801
5340.234375	-76.468513
5361.767578	-79.725182
5383.300781	-79.704819
5404.833984	-81.665634
5426.367188	-87.467674
5447.900391	-89.439545
5469.433594	-82.178757
5490.966797	-72.910271
5512.500000	-64.695648
5534.033203	-63.648144
5555.566406	-64.122635
5577.099609	-63.776978
5598.632812	-65.083977
5620.166016	-70.076820
5641.699219	-82.699020
5663.232422	-87.693275
5684.765625	-88.117966
5706.298828	-87.172218
5727.832031	-87.926323
5749.365234	-87.961143
5770.898438	-86.076225
5792.431641	-82.466370
5813.964844	-78.744148
5835.498047	-73.312508
5857.031250	-68.719910
5878.564453	-66.114807
5900.097656	-68.838051
5921.630859	-70.999672
5943.164062	-72.114288
5964.697266	-78.311157
5986.230469	-85.321693
6007.763672	-83.799423
6029.296875	-82.741531
6050.830078	-84.231598
6072.363281	-87.302353
6093.896484	-83.096191
6115.429688	-79.035408
6136.962891	-71.856209
6158.496094	-64.221924
6180.029297	-62.576015
6201.562500	-63.145622
6223.095703	-65.112076
6244.628906	-66.495499
6266.162109	-67.901871
6287.695312	-72.459702
6309.228516	-80.673080
6330.761719	-81.993034
6352.294922	-83.036797
6373.828125	-83.100174
6395.361328	-86.925575
6416.894531	-84.376068
6438.427734	-78.255730
6459.960938	-70.639664
6481.494141	-65.566528
6503.027344	-64.767960
6524.560547	-64.016586
6546.093750	-66.612587
6567.626953	-66.693161
6589.160156	-70.608360
6610.693359	-76.581238
6632.226562	-85.368332
6653.759766	-89.617317
6675.292969	-87.193153
6696.826172	-85.745972
6718.359375	-86.724022
6739.892578	-84.756546
6761.425781	-77.697723
6782.958984	-68.178246
6804.492188	-59.382263
6826.025391	-57.044563
6847.558594	-56.565098
6869.091797	-57.106838
6890.625000	-57.468201
6912.158203	-59.217213
6933.691406	-62.044159
6955.224609	-70.400459
6976.757812	-81.574989
6998.291016	-82.806534
7019.824219	-82.714531
7041.357422	-84.575592
7062.890625	-86.634140
7084.423828	-80.311241
7105.957031	-74.009750
7127.490234	-66.918480
7149.023438	-65.123932
7170.556641	-65.122841
7192.089844	-66.249313
7213.623047	-66.318451
7235.156250	-65.957985
7256.689453	-66.171616
7278.222656	-70.450279
7299.755859	-79.209290
7321.289062	-84.525085
7342.822266	-83.830124
7364.355469	-83.888336
7385.888672	-84.556404
7407.421875	-81.083641
7428.955078	-73.888191
7450.488281	-69.316162
7472.021484	-68.792023
7493.554688	-66.584702
7515.087891	-67.065910
7536.621094	-67.718193
7558.154297	-67.009636
7579.687500	-66.172852
7601.220703	-67.749649
7622.753906	-76.005875
7644.287109	-80.581604
7665.820312	-77.661232
7687.353516	-78.882462
7708.886719	-80.071899
7730.419922	-73.876022
7751.953125	-66.147476
7773.486328	-58.033489
7795.019531	-54.819374
7816.552734	-55.474018
7838.085938	-55.658165
7859.619141	-57.752857
7881.152344	-58.020554
7902.685547	-62.248825
7924.218750	-64.774002
7945.751953	-71.355133
7967.285156	-78.995628
7988.818359	-77.527786
8010.351562	-78.632469
8031.884766	-81.491440
8053.417969	-75.053322
8074.951172	-67.830437
8096.484375	-61.710949
8118.017578	-59.853283
8139.550781	-61.712151
8161.083984	-61.196133
8182.617188	-64.032074
8204.150391	-64.704300
8225.683594	-67.134743
8247.216797	-67.008179
8268.750000	-70.629257
8290.283203	-79.214302
8311.816406	-82.920952
8333.349609	-81.055336
8354.882812	-82.664124
8376.416016	-76.578751
8397.949219	-69.640785
8419.482422	-63.190563
8441.015625	-60.784683
8462.548828	-61.236507
8484.082031	-60.439022
8505.615234	-61.513920
8527.148438	-60.922436
8548.681641	-61.667732
8570.214844	-62.672081
8591.748047	-64.029343
8613.281250	-70.061333
8634.814453	-75.361198
8656.347656	-73.205727
8677.880859	-73.263077
8699.414062	-70.131599
8720.947266	-62.858532
8742.480469	-56.776825
8764.013672	-53.695309
8785.546875	-54.782867
8807.080078	-55.711189
8828.613281	-57.819958
8850.146484	-60.065063
8871.679688	-60.487106
8893.212891	-62.094601
8914.746094	-62.319645
8936.279297	-67.872719
8957.812500	-74.811188
8979.345703	-74.470314
9000.878906	-74.486954
9022.412109	-72.045326
9043.945312	-64.746185
9065.478516	-59.307980
9087.011719	-56.135124
9108.544922	-55.176815
9130.078125	-55.333740
9151.611328	-56.193352
9173.144531	-58.871719
9194.677734	-59.497955
9216.210938	-61.425110
9237.744141	-60.467827
9259.277344	-64.276566
9280.810547	-72.612701
9302.343750	-76.881439
9323.876953	-75.412392
9345.410156	-72.848587
9366.943359	-66.639427
9388.476562	-60.754414
9410.009766	-58.105087
9431.542969	-58.340748
9453.076172	-57.756554
9474.609375	-57.217884
9496.142578	-61.162483
9517.675781	-63.531563
9539.208984	-65.573120
9560.742188	-65.082939
9582.275391	-67.186188
9603.808594	-75.038940
9625.341797	-79.665962
9646.875000	-78.816513
9668.408203	-76.854973
9689.941406	-69.332039
9711.474609	-64.199493
9733.007812	-61.696629
9754.541016	-61.393654
9776.074219	-61.598923
9797.607422	-60.751068
9819.140625	-64.584656
9840.673828	-65.790298
9862.207031	-66.908195
9883.740234	-68.914894
9905.273438	-70.192497
9926.806641	-75.653976
9948.339844	-79.309669
9969.873047	-79.474838
9991.406250	-79.330338
10012.939453	-74.342133
10034.472656	-69.954865
10056.005859	-68.263260
10077.539062	-69.794228
10099.072266	-68.689270
10120.605469	-65.147003
10142.138672	-67.430130
10163.671875	-68.216568
10185.205078	-68.223099
10206.738281	-69.354683
10228.271484	-67.600769
10249.804688	-71.033081
10271.337891	-75.549820
10292.871094	-76.053673
10314.404297	-72.315186
10335.937500	-67.374588
10357.470703	-63.140602
10379.003906	-60.000500
10400.537109	-59.465836
10422.070312	-60.349434
10443.603516	-60.214462
10465.136719	-61.720257
10486.669922	-63.088547
10508.203125	-63.640598
10529.736328	-66.025162
10551.269531	-64.771690
10572.802734	-66.866486
10594.335938	-73.917641
10615.869141	-79.346771
10637.402344	-76.314636
10658.935547	-70.895554
10680.468750	-67.210793
10702.001953	-63.500858
10723.535156	-63.372890
10745.068359	-64.978905
10766.601562	-67.439232
10788.134766	-69.989792
10809.667969	-72.877357
10831.201172	-74.771133
10852.734375	-78.674759
10874.267578	-84.739746
10895.800781	-86.222000
10917.333984	-84.349236
10938.867188	-85.172195
10960.400391	-83.184578
10981.933594	-77.114693
11003.466797	-72.534042
11025.000000	-68.708786
11046.533203	-66.365875
11068.066406	-64.786369
11089.599609	-64.038094
11111.132812	-64.333076
11132.666016	-66.021935
11154.199219	-65.451614
11175.732422	-66.820351
11197.265625	-69.622154
11218.798828	-68.070374
11240.332031	-70.509926
11261.865234	-75.297897
11283.398438	-76.860748
11304.931641	-73.785522
11326.464844	-70.430595
11347.998047	-67.008026
11369.531250	-66.437141
11391.064453	-66.567192
11412.597656	-65.697685
11434.130859	-63.556847
11455.664062	-63.197536
11477.197266	-61.896156
11498.730469	-61.981262
11520.263672	-64.308716
11541.796875	-62.936047
11563.330078	-64.509544
11584.863281	-69.022675
11606.396484	-72.472717
11627.929688	-68.677795
11649.462891	-64.625946
11670.996094	-62.181236
11692.529297	-61.876652
11714.062500	-61.709213
11735.595703	-62.498013
11757.128906	-61.011242
11778.662109	-64.302605
11800.195312	-64.550545
11821.728516	-64.156448
11843.261719	-66.875587
