Frequency (Hz)	Level (dB)
4521.972656	-99.534027
4543.505859	-99.604179
4565.039062	-93.093948
4586.572266	-85.782455
4608.105469	-81.208160
4629.638672	-77.628174
4651.171875	-75.342995
4672.705078	-77.307953
4694.238281	-83.038254
4715.771484	-89.359261
4737.304688	-93.139786
4758.837891	-93.993546
4780.371094	-89.329399
4801.904297	-86.967728
4823.437500	-87.695854
4844.970703	-88.358925
4866.503906	-89.248627
4888.037109	-86.271065
4909.570312	-79.682671
4931.103516	-76.382980
4952.636719	-79.034698
4974.169922	-79.954285
4995.703125	-77.300430
5017.236328	-78.903282
5038.769531	-77.863838
5060.302734	-79.227440
5081.835938	-78.869392
5103.369141	-76.381882
5124.902344	-76.980888
5146.435547	-77.010254
5167.968750	-77.052498
5189.501953	-78.916725
5211.035156	-82.634468
5232.568359	-84.862114
5254.101562	-79.761688
5275.634766	-74.433228
5297.167969	-70.488266
5318.701172	-70.726318
5340.234375	-74.093071
5361.767578	-80.030365
5383.300781	-86.224129
5404.833984	-89.078941
5426.367188	-88.460556
5447.900391	-85.064476
5469.433594	-84.723549
5490.966797	-84.139610
5512.500000	-85.713722
5534.033203	-87.811226
5555.566406	-90.284836
5577.099609	-90.908295
5598.632812	-85.759834
5620.166016	-81.383553
5641.699219	-80.281296
5663.232422	-80.922523
5684.765625	-83.054932
5706.298828	-86.036186
5727.832031	-87.712440
5749.365234	-87.725288
5770.898438	-83.349632
5792.431641	-81.205154
5813.964844	-82.431252
5835.498047	-79.924110
5857.031250	-81.945877
5878.564453	-84.502533
5900.097656	-81.743233
5921.630859	-75.996468
5943.164062	-72.157867
5964.697266	-69.701012
5986.230469	-68.701225
6007.763672	-68.204727
6029.296875	-72.246521
6050.830078	-77.074265
6072.363281	-79.409576
6093.896484	-82.244041
6115.429688	-83.217125
6136.962891	-86.348480
6158.496094	-89.198502
6180.029297	-87.844254
6201.562500	-88.326973
6223.095703	-85.853668
6244.628906	-80.931885
6266.162109	-79.233139
6287.695312	-76.826988
6309.228516	-74.910034
6330.761719	-75.421219
6352.294922	-80.437424
6373.828125	-88.920982
6395.361328	-94.594299
6416.894531	-96.572609
6438.427734	-96.148483
6459.960938	-94.511658
6481.494141	-96.175865
6503.027344	-98.360962
6524.560547	-98.532768
6546.093750	-99.111946
6567.626953	-99.161804
6589.160156	-96.756989
6610.693359	-88.588875
6632.226562	-83.111977
6653.759766	-82.248924
6675.292969	-82.718681
6696.826172	-86.410751
6718.359375	-89.109642
6739.892578	-91.263550
6761.425781	-91.446022
6782.958984	-88.379059
6804.492188	-87.337662
6826.025391	-85.477325
6847.558594	-87.660400
6869.091797	-87.543411
6890.625000	-86.784714
6912.158203	-82.614128
6933.691406	-81.721382
6955.224609	-80.512886
6976.757812	-80.706825
6998.291016	-84.185699
7019.824219	-88.704155
7041.357422	-94.859619
7062.890625	-99.775093
7084.423828	-98.236221
7105.957031	-95.126175
7127.490234	-98.337288
7149.023438	-91.160431
7170.556641	-88.873993
7192.089844	-88.541252
7213.623047	-85.432884
7235.156250	-80.379700
7256.689453	-76.728935
