Frequency (Hz)	Level (dB)
8074.951172	-88.831490
8096.484375	-88.416100
8118.017578	-86.859192
8139.550781	-80.841591
8161.083984	-78.975441
8182.617188	-78.900200
8204.150391	-80.031113
8225.683594	-80.029716
8247.216797	-82.414795
8268.750000	-81.830925
8290.283203	-78.617912
8311.816406	-74.128517
8333.349609	-74.568848
8354.882812	-76.314995
8376.416016	-76.996696
8397.949219	-75.375259
8419.482422	-72.255081
8441.015625	-72.232391
8462.548828	-66.543732
8484.082031	-62.211498
8505.615234	-60.587391
8527.148438	-58.671963
8548.681641	-62.115421
8570.214844	-67.056480
8591.748047	-70.484894
8613.281250	-69.372337
8634.814453	-69.435234
8656.347656	-67.564583
8677.880859	-69.288681
8699.414062	-78.180473
8720.947266	-81.610619
8742.480469	-78.454903
8764.013672	-77.336906
8785.546875	-75.951187
8807.080078	-70.158615
8828.613281	-65.617401
8850.146484	-62.232185
8871.679688	-61.675343
8893.212891	-64.124748
8914.746094	-64.014420
8936.279297	-67.854012
8957.812500	-68.246452
8979.345703	-68.190025
9000.878906	-65.182526
9022.412109	-65.756271
9043.945312	-73.452858
9065.478516	-76.201202
9087.011719	-70.050613
9108.544922	-70.277695
9130.078125	-73.152367
9151.611328	-69.722488
9173.144531	-66.981911
9194.677734	-64.199127
9216.210938	-65.722656
9237.744141	-70.707497
9259.277344	-70.577881
9280.810547	-74.201897
9302.343750	-73.513268
9323.876953	-72.372017
9345.410156	-71.129097
9366.943359	-70.002426
9388.476562	-70.952263
9410.009766	-66.422836
9431.542969	-61.100784
9453.076172	-63.071819
9474.609375	-65.446037
9496.142578	-63.697651
9517.675781	-63.017414
9539.208984	-61.860909
9560.742188	-63.137955
9582.275391	-68.319313
9603.808594	-71.522011
9625.341797	-73.724838
9646.875000	-69.721024
9668.408203	-68.056229
9689.941406	-66.888771
9711.474609	-65.795395
9733.007812	-71.022301
9754.541016	-66.547768
9776.074219	-63.570202
9797.607422	-67.262100
9819.140625	-66.094353
9840.673828	-62.425789
9862.207031	-62.332630
9883.740234	-60.889324
9905.273438	-62.692493
9926.806641	-68.432465
9948.339844	-69.473587
9969.873047	-74.523285
9991.406250	-75.506798
10012.939453	-74.834137
10034.472656	-76.169724
10056.005859	-76.477448
10077.539062	-78.501228
10099.072266	-74.808617
10120.605469	-75.337624
10142.138672	-79.260834
10163.671875	-75.336853
10185.205078	-72.707466
10206.738281	-72.380653
10228.271484	-70.486053
10249.804688	-73.518288
10271.337891	-77.724533
10292.871094	-78.687057
10314.404297	-86.450546
10335.937500	-87.186523
10357.470703	-86.716187
10379.003906	-88.153404
10400.537109	-86.730545
10422.070312	-90.635529
10443.603516	-88.028824
10465.136719	-88.761192
10486.669922	-88.430283
10508.203125	-86.443504
10529.736328	-84.479637
10551.269531	-80.143906
10572.802734	-79.254593
10594.335938	-80.119705
10615.869141	-84.103279
10637.402344	-86.370995
10658.935547	-85.407219
10680.468750	-80.150421
10702.001953	-79.463165
10723.535156	-80.258224
10745.068359	-75.694603
10766.601562	-70.698715
10788.134766	-68.748070
10809.667969	-72.168312
10831.201172	-74.710793
10852.734375	-72.277939
10874.267578	-73.686211
10895.800781	-74.835098
10917.333984	-72.041573
10938.867188	-74.381424
10960.400391	-78.696358
10981.933594	-81.646912
11003.466797	-84.265144
11025.000000	-78.714699
11046.533203	-76.531464
11068.066406	-77.543625
11089.599609	-73.895836
11111.132812	-76.607834
11132.666016	-80.771248
11154.199219	-81.971802
11175.732422	-74.876183
11197.265625	-69.510742
11218.798828	-71.167633
11240.332031	-70.620354
11261.865234	-69.345123
11283.398438	-73.796669
11304.931641	-74.940056
11326.464844	-75.976433
11347.998047	-79.034813
11369.531250	-78.198235
11391.064453	-78.278702
11412.597656	-78.327698
11434.130859	-73.877907
11455.664062	-72.345238
11477.197266	-75.714211
11498.730469	-77.629997
11520.263672	-72.999825
11541.796875	-71.170341
11563.330078	-71.269569
11584.863281	-69.698242
11606.396484	-69.634537
11627.929688	-74.148483
11649.462891	-75.448135
11670.996094	-77.005135
11692.529297	-78.218842
11714.062500	-75.521927
11735.595703	-75.162582
11757.128906	-75.238525
11778.662109	-68.129120
11800.195312	-66.763802
11821.728516	-70.348091
11843.261719	-71.895897
11864.794922	-69.152107
11886.328125	-68.222260
11907.861328	-67.958534
11929.394531	-65.951920
11950.927734	-65.630516
11972.460938	-70.805016
11993.994141	-70.058540
12015.527344	-71.968475
12037.060547	-74.983047
12058.593750	-74.568436
12080.126953	-74.511406
12101.660156	-73.222290
12123.193359	-68.971077
12144.726562	-70.416290
12166.259766	-71.189392
12187.792969	-67.854416
12209.326172	-61.599030
12230.859375	-62.703609
12252.392578	-64.122604
12273.925781	-63.096336
12295.458984	-65.091568
12316.992188	-72.187004
12338.525391	-72.864563
12360.058594	-76.142082
12381.591797	-76.860191
12403.125000	-77.019508
12424.658203	-77.780632
12446.191406	-72.228012
12467.724609	-68.652000
12489.257812	-71.956581
12510.791016	-74.725357
12532.324219	-75.041306
12553.857422	-72.286217
12575.390625	-72.384094
12596.923828	-70.979149
12618.457031	-69.520416
12639.990234	-70.778275
12661.523438	-73.763397
12683.056641	-71.652161
12704.589844	-74.673759
12726.123047	-77.085220
12747.656250	-74.658127
12769.189453	-74.000687
12790.722656	-71.113068
12812.255859	-70.377327
12833.789062	-73.420082
12855.322266	-75.518959
12876.855469	-72.388405
12898.388672	-69.863159
12919.921875	-69.840027
12941.455078	-68.595894
12962.988281	-68.909737
12984.521484	-71.782410
13006.054688	-76.829704
13027.587891	-75.310326
13049.121094	-77.014023
13070.654297	-75.729500
13092.187500	-74.811508
13113.720703	-73.548698
13135.253906	-68.764755
13156.787109	-69.911324
13178.320312	-72.027771
13199.853516	-73.065063
13221.386719	-69.988770
13242.919922	-69.242279
13264.453125	-70.597984
13285.986328	-69.027397
13307.519531	-66.859810
13329.052734	-69.261429
13350.585938	-75.455551
13372.119141	-77.459175
13393.652344	-79.166611
13415.185547	-79.649544
13436.718750	-79.764122
13458.251953	-81.078667
13479.785156	-81.269356
13501.318359	-82.547722
13522.851562	-82.130798
13544.384766	-85.337906
13565.917969	-82.888428
13587.451172	-81.308823
13608.984375	-81.811378
